shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
12488842_shp,4.633477366952966,-74.20891246695297,1
12488842_shp,4.633477366952966,-74.20891246695297,2
12488842_shp,4.634196294575727,-74.2078081430648,3
12488842_shp,4.634196294575727,-74.2078081430648,4
12488842_shp,4.633159945347633,-74.20185793280571,5
12488842_shp,4.633159945347633,-74.20185793280571,6
12488842_shp,4.633297113055216,-74.2014951769236,7
12488842_shp,4.633297113055216,-74.2014951769236,8
12488842_shp,4.632909793882745,-74.20103183317201,9
12488842_shp,4.632909793882745,-74.20103183317201,10
12488842_shp,4.631829835734928,-74.20025222536147,11
12488842_shp,4.631829835734928,-74.20025222536147,12
12488842_shp,4.629439930325245,-74.199057754766,13
12488842_shp,4.629439930325245,-74.199057754766,14
12488842_shp,4.6278302741949595,-74.19927816320101,15
12488842_shp,4.6278302741949595,-74.19927816320101,16
12488842_shp,4.626190988306863,-74.19886315083933,17
12488842_shp,4.626190988306863,-74.19886315083933,18
12488842_shp,4.6249655400327345,-74.19830761021855,19
12488842_shp,4.6249655400327345,-74.19830761021855,20
12488842_shp,4.622170336255735,-74.19473432116332,21
12488842_shp,4.622170336255735,-74.19473432116332,22
12488842_shp,4.621053919383518,-74.19244162615166,23
12488842_shp,4.621053919383518,-74.19244162615166,24
12488842_shp,4.620862526794389,-74.19232134017471,25
12488842_shp,4.620862526794389,-74.19232134017471,26
12488842_shp,4.619242729940512,-74.1862851431266,27
12488842_shp,4.619242729940512,-74.1862851431266,28
12488842_shp,4.617146708580913,-74.18510030116872,29
12488842_shp,4.617146708580913,-74.18510030116872,30
12488842_shp,4.615722650989944,-74.18464196091377,31
12488842_shp,4.615722650989944,-74.18464196091377,32
12488842_shp,4.6149126832104095,-74.1834207738666,33
12488842_shp,4.6149126832104095,-74.1834207738666,34
12488842_shp,4.612885008580912,-74.1823170011687,35
12488842_shp,4.612885008580912,-74.1823170011687,36
12488842_shp,4.610474620162406,-74.18254093188482,37
12488842_shp,4.610474620162406,-74.18254093188482,38
12488842_shp,4.609160930212283,-74.18169933055282,39
12488842_shp,4.609160930212283,-74.18169933055282,40
12488842_shp,4.608103925582549,-74.18072962596925,41
12488842_shp,4.608103925582549,-74.18072962596925,42
12488842_shp,4.6061001067972125,-74.18002322904026,43
12488842_shp,4.6061001067972125,-74.18002322904026,44
12488842_shp,4.605104708580913,-74.17929000116872,45
12488842_shp,4.605104708580913,-74.17929000116872,46
12488842_shp,4.601497835463501,-74.17834825474148,47
12488842_shp,4.601497835463501,-74.17834825474148,48
12488842_shp,4.59970661138948,-74.17649055020509,49
12488842_shp,4.59970661138948,-74.17649055020509,50
12488842_shp,4.599078663201008,-74.17231057419494,51
12488842_shp,4.599078663201008,-74.17231057419494,52
12488842_shp,4.5983468054142165,-74.16891120726201,53
12488842_shp,4.5983468054142165,-74.16891120726201,54
12488842_shp,4.593009351027607,-74.16430309415846,55
12488842_shp,4.593009351027607,-74.16430309415846,56
12488842_shp,4.59059073999071,-74.16398420520734,57
12488842_shp,4.59059073999071,-74.16398420520734,58
12488842_shp,4.589271657149176,-74.16421796181669,59
12488842_shp,4.589271657149176,-74.16421796181669,60
12488842_shp,4.586993291419088,-74.16380139883128,61
12488842_shp,4.586993291419088,-74.16380139883128,62
12488842_shp,4.583357046541383,-74.15599572434773,63
12488842_shp,4.583357046541383,-74.15599572434773,64
12488842_shp,4.58372296181668,-74.15368504285082,65
12488842_shp,4.58372296181668,-74.15368504285082,66
12488842_shp,4.5835886632010086,-74.15209397419495,67
12488842_shp,4.5835886632010086,-74.15209397419495,68
12488842_shp,4.58106026519286,-74.14545087360308,69
12488842_shp,4.58106026519286,-74.14545087360308,70
12488842_shp,4.578785330483019,-74.14043002322097,71
12488842_shp,4.578785330483019,-74.14043002322097,72
12488842_shp,4.581366073866593,-74.13712511678958,73
12488842_shp,4.581366073866593,-74.13712511678958,74
12488842_shp,4.582375011203579,-74.13613621726964,75
12488842_shp,4.582375011203579,-74.13613621726964,76
12488842_shp,4.583575949160669,-74.12926428830687,77
12488842_shp,4.583575949160669,-74.12926428830687,78
12488842_shp,4.584176896839129,-74.12783320815794,79
12488842_shp,4.584176896839129,-74.12783320815794,80
12488842_shp,4.584932112927294,-74.126654495784,81
12488842_shp,4.584932112927294,-74.126654495784,82
12488842_shp,4.586100008629672,-74.12354958002084,83
12488842_shp,4.586100008629672,-74.12354958002084,84
12488842_shp,4.58555764916067,-74.12238741169314,85
12488842_shp,4.58555764916067,-74.12238741169314,86
12488842_shp,4.5853567,-74.1207883,87
12488842_shp,4.5853567,-74.1207883,88
12488842_shp,4.5855030367989915,-74.11959897419496,89
12488842_shp,4.5855030367989915,-74.11959897419496,90
12488842_shp,4.586063524687548,-74.11779099237951,91
12488842_shp,4.586063524687548,-74.11779099237951,92
12488842_shp,4.5858383,-74.1160017,93
12488842_shp,4.5858383,-74.1160017,94
12488842_shp,4.585892038183319,-74.11397325714918,95
12488842_shp,4.585892038183319,-74.11397325714918,96
12488842_shp,4.5861530394224195,-74.11218088075404,97
12488842_shp,4.5861530394224195,-74.11218088075404,98
12488842_shp,4.586109445494386,-74.1100183170739,99
12488842_shp,4.586109445494386,-74.1100183170739,100
12488842_shp,4.58497731678959,-74.1093475261334,101
12488842_shp,4.58497731678959,-74.1093475261334,102
12488842_shp,4.583017553929917,-74.10735966609606,103
12488842_shp,4.583017553929917,-74.10735966609606,104
12488842_shp,4.583495954872965,-74.10108965903324,105
12488842_shp,4.583495954872965,-74.10108965903324,106
