direction_id,route_id,service_id,shape_id,trip_id
0,7221988,GENERIC,7221988_shp,7221988_1
1,7221988,GENERIC,7221988_shp,7221988_2
0,7221988,GENERIC,7221988_shp,7221988_3
1,7221988,GENERIC,7221988_shp,7221988_4
0,7221988,GENERIC,7221988_shp,7221988_5
1,7221988,GENERIC,7221988_shp,7221988_6
0,7221988,GENERIC,7221988_shp,7221988_7
1,7221988,GENERIC,7221988_shp,7221988_8
0,7221988,GENERIC,7221988_shp,7221988_9
1,7221988,GENERIC,7221988_shp,7221988_10
0,7221988,GENERIC,7221988_shp,7221988_11
1,7221988,GENERIC,7221988_shp,7221988_12
0,7221988,GENERIC,7221988_shp,7221988_13
1,7221988,GENERIC,7221988_shp,7221988_14
0,7221988,GENERIC,7221988_shp,7221988_15
1,7221988,GENERIC,7221988_shp,7221988_16
0,7221988,GENERIC,7221988_shp,7221988_17
1,7221988,GENERIC,7221988_shp,7221988_18
0,7221988,GENERIC,7221988_shp,7221988_19
1,7221988,GENERIC,7221988_shp,7221988_20
0,7221988,GENERIC,7221988_shp,7221988_21
1,7221988,GENERIC,7221988_shp,7221988_22
0,7221988,GENERIC,7221988_shp,7221988_23
1,7221988,GENERIC,7221988_shp,7221988_24
0,2612237,GENERIC,2612237_shp,2612237_1
1,2612237,GENERIC,2612237_shp,2612237_2
0,2612237,GENERIC,2612237_shp,2612237_3
1,2612237,GENERIC,2612237_shp,2612237_4
0,2612237,GENERIC,2612237_shp,2612237_5
1,2612237,GENERIC,2612237_shp,2612237_6
0,2612237,GENERIC,2612237_shp,2612237_7
1,2612237,GENERIC,2612237_shp,2612237_8
0,2612237,GENERIC,2612237_shp,2612237_9
1,2612237,GENERIC,2612237_shp,2612237_10
0,2612237,GENERIC,2612237_shp,2612237_11
1,2612237,GENERIC,2612237_shp,2612237_12
0,2612237,GENERIC,2612237_shp,2612237_13
1,2612237,GENERIC,2612237_shp,2612237_14
0,2612237,GENERIC,2612237_shp,2612237_15
1,2612237,GENERIC,2612237_shp,2612237_16
0,2612237,GENERIC,2612237_shp,2612237_17
1,2612237,GENERIC,2612237_shp,2612237_18
0,2612237,GENERIC,2612237_shp,2612237_19
1,2612237,GENERIC,2612237_shp,2612237_20
0,2612237,GENERIC,2612237_shp,2612237_21
1,2612237,GENERIC,2612237_shp,2612237_22
0,2612237,GENERIC,2612237_shp,2612237_23
1,2612237,GENERIC,2612237_shp,2612237_24
0,77251991,GENERIC,77251991_shp,77251991_1
1,77251991,GENERIC,77251991_shp,77251991_2
0,77251991,GENERIC,77251991_shp,77251991_3
1,77251991,GENERIC,77251991_shp,77251991_4
0,77251991,GENERIC,77251991_shp,77251991_5
1,77251991,GENERIC,77251991_shp,77251991_6
0,77251991,GENERIC,77251991_shp,77251991_7
1,77251991,GENERIC,77251991_shp,77251991_8
0,77251991,GENERIC,77251991_shp,77251991_9
1,77251991,GENERIC,77251991_shp,77251991_10
0,77251991,GENERIC,77251991_shp,77251991_11
1,77251991,GENERIC,77251991_shp,77251991_12
0,77251991,GENERIC,77251991_shp,77251991_13
1,77251991,GENERIC,77251991_shp,77251991_14
0,77251991,GENERIC,77251991_shp,77251991_15
1,77251991,GENERIC,77251991_shp,77251991_16
0,77251991,GENERIC,77251991_shp,77251991_17
1,77251991,GENERIC,77251991_shp,77251991_18
